epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.983,1.27432,2.82073,1.53341,0.63989,0.55245,0.6003,0.41718,1.13115,1.54948,1.4322,0.0033294,0.0033294,0.0033294
2,305.845,1.19358,1.6559,1.42366,0.67151,0.63307,0.68625,0.48817,1.07421,1.35793,1.37765,0.00659677,0.00659677,0.00659677
3,452.586,1.27199,1.7262,1.47985,0.46934,0.40131,0.36828,0.23614,1.47932,2.37937,1.81052,0.00979815,0.00979815,0.00979815
4,598.464,1.34205,1.87149,1.54226,0.71065,0.58484,0.65115,0.44636,1.17275,1.39727,1.47094,0.009703,0.009703,0.009703
5,744.115,1.29373,1.68131,1.49635,0.75238,0.705,0.75789,0.53373,1.08377,1.0989,1.37954,0.009604,0.009604,0.009604
6,890.153,1.24704,1.54246,1.46366,0.78063,0.71809,0.77757,0.56575,1.02345,1.03473,1.33466,0.009505,0.009505,0.009505
7,1036.18,1.21207,1.44461,1.43457,0.80303,0.73856,0.79168,0.57963,1.00492,0.97115,1.32146,0.009406,0.009406,0.009406
8,1181.89,1.18456,1.35586,1.41318,0.81547,0.74379,0.80591,0.59378,0.98337,0.93255,1.3092,0.009307,0.009307,0.009307
9,1327.71,1.15571,1.28308,1.38976,0.82189,0.75944,0.82076,0.61008,0.96901,0.87483,1.27642,0.009208,0.009208,0.009208
10,1473.2,1.13398,1.23101,1.37307,0.85551,0.77409,0.83835,0.62945,0.94282,0.81324,1.25654,0.009109,0.009109,0.009109
11,1618.75,1.11389,1.17384,1.35487,0.86261,0.79287,0.84926,0.63926,0.9214,0.7892,1.24361,0.00901,0.00901,0.00901
12,1764.33,1.10027,1.14886,1.34845,0.84659,0.80008,0.85031,0.64884,0.89195,0.76453,1.20989,0.008911,0.008911,0.008911
13,1910.04,1.08305,1.11071,1.33703,0.85635,0.79135,0.84845,0.65119,0.87629,0.74468,1.20297,0.008812,0.008812,0.008812
14,2055.57,1.06932,1.07099,1.32298,0.8643,0.80806,0.86148,0.66032,0.88038,0.73942,1.20886,0.008713,0.008713,0.008713
15,2201.08,1.06012,1.03428,1.31741,0.86955,0.82657,0.87384,0.67661,0.85436,0.67448,1.18821,0.008614,0.008614,0.008614
16,2346.77,1.05155,1.02813,1.31638,0.87314,0.83019,0.87398,0.67689,0.85297,0.67769,1.18212,0.008515,0.008515,0.008515
17,2492.46,1.03345,0.99783,1.30023,0.88066,0.82339,0.87159,0.6794,0.8295,0.67458,1.16547,0.008416,0.008416,0.008416
18,2637.92,1.02198,0.97073,1.29306,0.86519,0.82425,0.8708,0.67842,0.82924,0.66171,1.17254,0.008317,0.008317,0.008317
19,2783.49,1.01935,0.95461,1.28811,0.87385,0.84466,0.88424,0.69365,0.81674,0.63084,1.15369,0.008218,0.008218,0.008218
20,2928.94,1.01152,0.92874,1.28039,0.86894,0.8343,0.87547,0.68957,0.82348,0.65437,1.16086,0.008119,0.008119,0.008119
21,3074.57,1.004,0.92861,1.27669,0.8868,0.82692,0.87841,0.69341,0.81767,0.64311,1.15626,0.00802,0.00802,0.00802
22,3219.96,0.99696,0.90814,1.26965,0.88359,0.84293,0.88711,0.69691,0.80762,0.61155,1.14043,0.007921,0.007921,0.007921
23,3365.28,0.98424,0.88005,1.25964,0.88592,0.83614,0.88668,0.70564,0.79302,0.59973,1.13705,0.007822,0.007822,0.007822
24,3510.99,0.97831,0.87321,1.25805,0.87961,0.85082,0.88829,0.70478,0.79913,0.60488,1.14453,0.007723,0.007723,0.007723
25,3656.45,0.97486,0.87161,1.25424,0.88838,0.84432,0.88661,0.70367,0.7958,0.6097,1.13484,0.007624,0.007624,0.007624
26,3802,0.95962,0.83943,1.24587,0.89733,0.83764,0.89135,0.71046,0.78503,0.59843,1.13652,0.007525,0.007525,0.007525
27,3947.61,0.95746,0.83979,1.24502,0.89066,0.84559,0.89455,0.71677,0.77316,0.58909,1.12424,0.007426,0.007426,0.007426
28,4093.01,0.95273,0.82109,1.24166,0.88246,0.85691,0.89689,0.72055,0.76676,0.56077,1.11814,0.007327,0.007327,0.007327
29,4238.49,0.94919,0.81937,1.23888,0.88927,0.85173,0.89426,0.72451,0.76091,0.5659,1.1157,0.007228,0.007228,0.007228
30,4384.03,0.94329,0.80968,1.23003,0.88061,0.86154,0.89942,0.72152,0.76149,0.5447,1.11224,0.007129,0.007129,0.007129
31,4529.7,0.9336,0.79984,1.22779,0.891,0.85742,0.89625,0.72162,0.75539,0.56105,1.10454,0.00703,0.00703,0.00703
32,4675.14,0.92912,0.78229,1.22505,0.89252,0.85526,0.90256,0.72373,0.76339,0.55422,1.10599,0.006931,0.006931,0.006931
33,4820.79,0.92568,0.78469,1.22279,0.90131,0.85621,0.9001,0.72446,0.7534,0.54443,1.10809,0.006832,0.006832,0.006832
34,4966.39,0.92501,0.78109,1.22099,0.88418,0.86692,0.90211,0.72979,0.74858,0.54275,1.10407,0.006733,0.006733,0.006733
35,5111.8,0.91456,0.75771,1.21201,0.87891,0.87328,0.9,0.72763,0.74875,0.55876,1.10213,0.006634,0.006634,0.006634
36,5257.1,0.9079,0.75898,1.21524,0.87975,0.86982,0.90019,0.73038,0.74192,0.54623,1.09721,0.006535,0.006535,0.006535
37,5402.18,0.89882,0.74196,1.20456,0.89885,0.85472,0.90341,0.73721,0.73352,0.54193,1.08724,0.006436,0.006436,0.006436
38,5547.61,0.89593,0.72452,1.19627,0.88923,0.86859,0.90495,0.7386,0.73554,0.53812,1.09251,0.006337,0.006337,0.006337
39,5693.2,0.89631,0.73039,1.20087,0.90199,0.85813,0.90413,0.73674,0.72737,0.52989,1.08464,0.006238,0.006238,0.006238
40,5838.78,0.89535,0.72669,1.20043,0.90702,0.85433,0.90528,0.73714,0.72947,0.52688,1.08835,0.006139,0.006139,0.006139
41,5984.19,0.88649,0.7159,1.19726,0.87587,0.87912,0.90666,0.74094,0.72986,0.51655,1.09302,0.00604,0.00604,0.00604
42,6130.12,0.88416,0.70838,1.19658,0.88425,0.876,0.91043,0.74491,0.71578,0.51777,1.08087,0.005941,0.005941,0.005941
43,6275.46,0.8793,0.70482,1.19095,0.88725,0.87221,0.90818,0.74515,0.71989,0.50819,1.08547,0.005842,0.005842,0.005842
44,6421.07,0.87596,0.70089,1.19099,0.87984,0.87861,0.90735,0.74408,0.72084,0.51288,1.08754,0.005743,0.005743,0.005743
45,6566.31,0.8712,0.69188,1.1865,0.89478,0.87064,0.90917,0.7449,0.7132,0.51325,1.07746,0.005644,0.005644,0.005644
46,6711.63,0.8673,0.68473,1.17701,0.8861,0.88251,0.90857,0.74981,0.70887,0.50267,1.07625,0.005545,0.005545,0.005545
47,6857.06,0.8664,0.68397,1.17936,0.89582,0.87205,0.91084,0.7498,0.7039,0.49921,1.06594,0.005446,0.005446,0.005446
